base_pkg,adv_pkg,categories,typomind_cat
commander,c0mmander,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",NA
commander,commander,['Letter Duplicated and Replaced'],NA
commander,commadner,['Letters Swapped'],NA
commander,cmmander,['Character Removed'],NA
commander,coommander,['Letter Duplicated'],NA
commander,ccommander,['Letter Duplicated'],NA
commander,commandder,"['Double hit character', 'Letter Duplicated']",NA
commander,commanders,['Suffix Added'],NA
commandpost,commandpost,['Letter Duplicated and Replaced'],NA
comment-json,comment-json,['Letter Duplicated and Replaced'],NA
comment-parser,comment-parser,['Letter Duplicated and Replaced'],NA
comment-patterns,comment-patterns,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
comment-regex,comment-regex,['Letter Duplicated and Replaced'],NA
commenting,commenting,['Letter Duplicated and Replaced'],NA
commist,commist,['Letter Duplicated and Replaced'],NA
commitizen,commitizen,['Letter Duplicated and Replaced'],NA
commitlint,commitlint,['Letter Duplicated and Replaced'],NA
commitlint-config-jira,commitlint-config-jira,['Letter Duplicated and Replaced'],NA
commitlint-jira-utils,commitlint-jira-utils,['Letter Duplicated and Replaced'],NA
commitlint-plugin-jira-rules,commitlint-plugin-jira-rules,['Letter Duplicated and Replaced'],NA
common-ancestor-path,common-ancestor-path,['Letter Duplicated and Replaced'],NA
common-bin,common-bin,['Letter Duplicated and Replaced'],NA
common-config,common-config,['Letter Duplicated and Replaced'],NA
common-dir,common-dir,['Letter Duplicated and Replaced'],NA
common-dir,commondir,"['Character Removed', 'Separator Removed']",NA
common-sequence,common-sequence,['Letter Duplicated and Replaced'],NA
common-tags,common-tags,['Letter Duplicated and Replaced'],NA
commondir,commondir,['Letter Duplicated and Replaced'],NA
commoner,commoner,['Letter Duplicated and Replaced'],NA
commoner,commaner,"['Ascii Homoglpyh', 'Swap Vowel']",NA
commonmark,commonmark,['Letter Duplicated and Replaced'],NA
commonmark-react-renderer,commonmark-react-renderer,['Letter Duplicated and Replaced'],NA
compare-version,compare-versions,['Suffix Added'],NA
compare-versions,compare-version,['Character Removed'],NA
compass-mixins,compass-mixins2,['Suffix Added'],NA
compass-mixins,compass-mixins,['Letter Duplicated and Replaced'],NA
compass-vertical-rhythm,compass-vertical-rhythm,['Letter Duplicated and Replaced'],NA
component-bind,component-find,['Close Letters on QWERTY Keyboard'],NA
component-classes,component-classes,['Letter Duplicated and Replaced'],NA
component-cookie,component-cookie,['Letter Duplicated and Replaced'],NA
component-emitter,component-emitter,['Letter Duplicated and Replaced'],NA
component-event,component-events,['Suffix Added'],NA
component-tween,component-tween,['Letter Duplicated and Replaced'],NA
compose-middleware,compose-middleware,['Letter Duplicated and Replaced'],NA
composer,composer.js,['Suffix Added'],NA
composer,compose,['Character Removed'],NA
compress,cumpress,['Swap Vowel'],NA
compress-commons,compress-commons,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
compress-tag,compress-tag,['Letter Duplicated and Replaced'],NA
compressible,compressible,['Letter Duplicated and Replaced'],NA
compressing,compressing,['Letter Duplicated and Replaced'],NA
compression,compression,['Letter Duplicated and Replaced'],NA
compression-webpack-plugin,compression-webpack-plugin,['Letter Duplicated and Replaced'],NA
compressorjs,compressorjs,['Letter Duplicated and Replaced'],NA
compute-scroll-into-view,compute-scroll-into-view,['Letter Duplicated and Replaced'],NA
concat,conct,['Character Removed'],NA
concurrent-transform,concurrent-transform,['Letter Duplicated and Replaced'],NA
concurrently,concurrently,['Letter Duplicated and Replaced'],NA
conf,cof,['Character Removed'],NA
conf,cnf,['Character Removed'],NA
conf,con,['Character Removed'],NA
conf,conr,['Close Letters on QWERTY Keyboard'],NA
conf,cong,['Close Letters on QWERTY Keyboard'],NA
config,config.js,['Suffix Added'],NA
config,config.ts,['Suffix Added'],NA
config,c0nfig,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",NA
config,fconfig,['Double hit character'],NA
config,confit,['Close Letters on QWERTY Keyboard'],NA
configcat-common,configcat-common,['Letter Duplicated and Replaced'],NA
confit,config,['Close Letters on QWERTY Keyboard'],NA
connect,connect,['Letter Duplicated and Replaced'],NA
connect,connect2,['Suffix Added'],NA
connect,connect.ts,['Suffix Added'],NA
connect-busboy,connect-busboy,['Letter Duplicated and Replaced'],NA
connect-datadog,connect-datadog,['Letter Duplicated and Replaced'],NA
connect-ensure-login,connect-ensure-login,['Letter Duplicated and Replaced'],NA
connect-flash,connect-flash,['Letter Duplicated and Replaced'],NA
connect-history-api-fallback,connect-history-api-fallback,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
connect-livereload,connect-livereload,['Letter Duplicated and Replaced'],NA
connect-logger,connect-logger,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
connect-modrewrite,connect-modrewrite,['Letter Duplicated and Replaced'],NA
connect-mongo,connect-mongo,['Letter Duplicated and Replaced'],NA
connect-multiparty,connect-multiparty,['Letter Duplicated and Replaced'],NA
connect-openui5,connect-openui5,['Letter Duplicated and Replaced'],NA
connect-pause,connect-pause,['Letter Duplicated and Replaced'],NA
connect-pg-simple,connect-pg-simple,['Letter Duplicated and Replaced'],NA
connect-query,connect-query,['Letter Duplicated and Replaced'],NA
connect-redis,connect-redis,['Letter Duplicated and Replaced'],NA
connect-session-knex,connect-session-knex,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
connect-session-sequelize,connect-session-sequelize,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
connect-slashes,connect-slashes,['Letter Duplicated and Replaced'],NA
connect-timeout,connect-timeout,['Letter Duplicated and Replaced'],NA
connected-domain,connected-domain,['Letter Duplicated and Replaced'],NA
connected-react-router,react-mrouter,['After Separator'],NA
connected-react-router,connected-react-router,['Letter Duplicated and Replaced'],NA
connected-react-router,react-xrouter,['After Separator'],NA
connection-parse,connection-parse,['Letter Duplicated and Replaced'],NA
consola,console,"['Ascii Homoglpyh', 'Swap Vowel']",NA
console,cosnole,['Letters Swapped'],NA
console,cansole,"['Ascii Homoglpyh', 'Swap Vowel']",NA
console,consola,"['Ascii Homoglpyh', 'Swap Vowel']",NA
console,vconsole,['Double hit character'],NA
console-ui,console-ui-ng,['Suffix Added'],NA
const-smallest-float64,const-smallest-float64,['Letter Duplicated and Replaced'],NA
construct-style-sheets-polyfill,construct-style-sheets-polyfill,['Letter Duplicated and Replaced'],NA
consul,consui,"['Ascii Homoglpyh', 'Close Letters on QWERTY Keyboard']",NA
container-query-toolkit,container-query-toolkit,['Letter Duplicated and Replaced'],NA
content,contents,['Suffix Added'],NA
content,fcontent,['Double hit character'],NA
content,congent,['Close Letters on QWERTY Keyboard'],NA
contents,content,['Character Removed'],NA
contour_plot,contour_plot.js,['Suffix Added'],NA
contra,contre,"['Ascii Homoglpyh', 'Swap Vowel']",NA
contra,contta,"['Close Letters on QWERTY Keyboard', 'Letter Duplicated and Replaced']",NA
contra,centra,"['Ascii Homoglpyh', 'Swap Vowel']",NA
controlled-promise,controlled-promise,['Letter Duplicated and Replaced'],NA
conventional-changelog-codemirror,conventional-changelog-codemirror,['Letter Duplicated and Replaced'],NA
conventional-changelog-conventionalcommits,conventional-changelog-conventionalcommits,['Letter Duplicated and Replaced'],NA
conventional-commit-types,conventional-commit-types,['Letter Duplicated and Replaced'],NA
conventional-commits-detector,conventional-commits-detector,['Letter Duplicated and Replaced'],NA
conventional-commits-filter,conventional-commits-filter,['Letter Duplicated and Replaced'],NA
conventional-commits-parser,conventional-commits-parser,['Letter Duplicated and Replaced'],NA
conventional-recommended-bump,conventional-recommended-bump,['Letter Duplicated and Replaced'],NA
convert-css-length,convert-css-length,['Letter Duplicated and Replaced'],NA
convert-units,convert-units.js,['Suffix Added'],NA
convert-units,covert-units,['Character Removed'],NA
cookie,cookie,['Letter Duplicated and Replaced'],NA
cookie,cooki,['Character Removed'],NA
cookie,scookie,['Double hit character'],NA
cookie,cookies,['Suffix Added'],NA
cookie-cutter,cookie-cutter,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
cookie-jar,cookie-jar,['Letter Duplicated and Replaced'],NA
cookie-jar,cookiejar,"['Character Removed', 'Separator Removed']",NA
cookie-parser,cookie-parser,['Letter Duplicated and Replaced'],NA
cookie-session,cookie-session,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
cookie-signature,cookie-signature,['Letter Duplicated and Replaced'],NA
cookie-storage,cookie-storage,['Letter Duplicated and Replaced'],NA
cookie-universal,cookie-universal,['Letter Duplicated and Replaced'],NA
cookie-universal-nuxt,cookie-universal-nuxt,['Letter Duplicated and Replaced'],NA
cookieconsent,cookieconsent,['Letter Duplicated and Replaced'],NA
cookiefile,cookiefile,['Letter Duplicated and Replaced'],NA
cookiejar,cookiejar,['Letter Duplicated and Replaced'],NA
cookies,cookie,['Character Removed'],NA
cookies,cookies,['Letter Duplicated and Replaced'],NA
cookies-js,cookies-js2,['Suffix Added'],NA
cookies-js,cookie-js,['Character Removed'],NA
cookies-js,cookies-js,['Letter Duplicated and Replaced'],NA
cookies-next,cookies-next,['Letter Duplicated and Replaced'],NA
copy,cop,['Character Removed'],NA
copy,copy1,['Suffix Added'],NA
copy,cpy,['Character Removed'],NA
copy,coy,['Character Removed'],NA
copy,scopy,['Double hit character'],NA
copy,capy,"['Ascii Homoglpyh', 'Swap Vowel']",NA
copy-concurrently,copy-concurrently,['Letter Duplicated and Replaced'],NA
copy-dir,copydir,"['Character Removed', 'Separator Removed']",NA
copy-paste,copy-pasta,"['Ascii Homoglpyh', 'Swap Vowel']",NA
cordova-app-hello-world,cordova-app-hello-world,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
cordova-common,cordova-common,['Letter Duplicated and Replaced'],NA
cordova-plugin-advanced-http,cordova-plugin-advanced-http,['Letter Duplicated and Replaced'],NA
cordova-plugin-app-version,cordova-plugin-app-version,['Letter Duplicated and Replaced'],NA
cordova-plugin-device,cordova-plugin-devices,['Suffix Added'],NA
cordova-plugin-file,cordova-plugin-file2,['Suffix Added'],NA
cordova-plugin-inappbrowser,cordova-plugin-inappbrowser2,['Suffix Added'],NA
cordova-plugin-inappbrowser,cordova-plugin-inappbrowser,['Letter Duplicated and Replaced'],NA
cordova-plugin-ionic-keyboard,cordova-plugin-ionic-keyboard2,['Suffix Added'],NA
cordova-plugin-screen-orientation,cordova-plugin-screen-orientaion,['Character Removed'],NA
cordova-plugin-screen-orientation,cordova-plugin-screen-orientation,['Letter Duplicated and Replaced'],NA
cordova-plugin-splashscreen,cordova-plugin-splashscreen,['Letter Duplicated and Replaced'],NA
core-assert,core-assert,['Letter Duplicated and Replaced'],NA
core-js,core-javascript,['String Substituted'],NA
correlation-id,correlation-id,['Letter Duplicated and Replaced'],NA
cors,ors,['Character Removed'],NA
cors,curs,['Swap Vowel'],NA
cors,crs,['Character Removed'],NA
cors,cos,['Character Removed'],NA
cors,cros,['Letters Swapped'],NA
cors,lors,['Bit Flips'],NA
count-array-values,count-array-values,['Letter Duplicated and Replaced'],NA
country-code-lookup,country-code-lookup,['Letter Duplicated and Replaced'],NA
country-language,country-languages,['Suffix Added'],NA
country-state-city,country_state_city,['Separator Changed'],NA
coveralls,coveralls,['Letter Duplicated and Replaced'],NA
cp,c-,['Close Letters on QWERTY Keyboard'],NA
cp,cpjs,['Suffix Added'],NA
cp,cop,['Double hit character'],NA
cp,cp1,['Suffix Added'],NA
cp,clp,['Double hit character'],NA
cp,xp,['Close Letters on QWERTY Keyboard'],NA
cp,co,['Close Letters on QWERTY Keyboard'],NA
cp,scp,['Double hit character'],NA
cp,c0,['Close Letters on QWERTY Keyboard'],NA
cp,cl,['Close Letters on QWERTY Keyboard'],NA
cp,cpp,"['Letter Duplicated', 'Letter Duplicated and Replaced']",NA
cp,cpts,['Suffix Added'],NA
cp,ccp,['Letter Duplicated'],NA
cp,cpx,['Suffix Added'],NA
cp,bp,['Bit Flips'],NA
cp,dp,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",NA
cp,lp,['Bit Flips'],NA
cp,cp5,['Suffix Added'],NA
cp,fcp,['Double hit character'],NA
cp,vcp,['Double hit character'],NA
cp,fp,['Close Letters on QWERTY Keyboard'],NA
cp,xcp,"['Double hit character', 'Prefix Added', 'Prefix Added']",NA
cp,cp3,['Suffix Added'],NA
cp,dcp,['Double hit character'],NA
cp,sp,['Close Letters on QWERTY Keyboard'],NA
cp,c9,['Close Letters on QWERTY Keyboard'],NA
cp,vp,['Close Letters on QWERTY Keyboard'],NA
cp-file,cpfile,"['Character Removed', 'Separator Removed']",NA
cpr,cpd,['Close Letters on QWERTY Keyboard'],NA
cpr,bpr,['Bit Flips'],NA
cpr,cp3,['Close Letters on QWERTY Keyboard'],NA
cpr,cp5,['Close Letters on QWERTY Keyboard'],NA
cpr,crp,['Letters Swapped'],NA
cpr,c0r,['Close Letters on QWERTY Keyboard'],NA
cpr,fpr,['Close Letters on QWERTY Keyboard'],NA
cpr,cpg,['Close Letters on QWERTY Keyboard'],NA
cpr,ccr,['Letter Duplicated and Replaced'],NA
cpr,clr,['Close Letters on QWERTY Keyboard'],NA
cpr,cor,['Close Letters on QWERTY Keyboard'],NA
cpr,cpr2,['Suffix Added'],NA
cpr,dpr,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",NA
cpr,lpr,['Bit Flips'],NA
cpr,cpf,['Close Letters on QWERTY Keyboard'],NA
cpr,cr,['Character Removed'],NA
cpr,xpr,['Close Letters on QWERTY Keyboard'],NA
cpr,spr,['Close Letters on QWERTY Keyboard'],NA
cpr,cp,['Character Removed'],NA
cpr,cpn,['Ascii Homoglpyh'],NA
cpr,cpt,['Close Letters on QWERTY Keyboard'],NA
cpx,cqx,['Ascii Homoglpyh'],NA
cpx,cox,['Close Letters on QWERTY Keyboard'],NA
cpx,xpx,['Close Letters on QWERTY Keyboard'],NA
cpx,bpx,['Bit Flips'],NA
cpx,cp,['Character Removed'],NA
cpx,cpd,['Close Letters on QWERTY Keyboard'],NA
cpx,cpx2,['Suffix Added'],NA
cpx,spx,['Close Letters on QWERTY Keyboard'],NA
cpx,vpx,['Close Letters on QWERTY Keyboard'],NA
cpx,clx,['Close Letters on QWERTY Keyboard'],NA
cpx,cpz,['Close Letters on QWERTY Keyboard'],NA
cpx,cpc,['Close Letters on QWERTY Keyboard'],NA
cpx,fpx,['Close Letters on QWERTY Keyboard'],NA
cpx,dpx,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",NA
cpx,cpa,['Close Letters on QWERTY Keyboard'],NA
cpx,ccx,['Letter Duplicated and Replaced'],NA
cpx,cx,['Character Removed'],NA
cpx,cps,['Close Letters on QWERTY Keyboard'],NA
cpx,lpx,['Bit Flips'],NA
cpx,cxp,['Letters Swapped'],NA
cpx2,cpx,['Character Removed'],NA
cpx2,px2,['Character Removed'],NA
cpy,cy,['Character Removed'],NA
cpy,cpt,['Close Letters on QWERTY Keyboard'],NA
cpy,coy,['Close Letters on QWERTY Keyboard'],NA
cpy,cp5,['Close Letters on QWERTY Keyboard'],NA
cpy,cly,['Close Letters on QWERTY Keyboard'],NA
cpy,spy,['Close Letters on QWERTY Keyboard'],NA
cpy,cpa,['Swap Vowel'],NA
cpy,cyp,['Letters Swapped'],NA
cpy,cpg,['Close Letters on QWERTY Keyboard'],NA
cpy,copy,['Double hit character'],NA
cpy,cqy,['Ascii Homoglpyh'],NA
cpy,cp,['Character Removed'],NA
cpy,cpi,['Swap Vowel'],NA
cpy,ccy,['Letter Duplicated and Replaced'],NA
cpy,dpy,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",NA
cpy,cpu,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']",NA
cpy,cpo,['Swap Vowel'],NA
cpy,dcpy,['Double hit character'],NA
cpy-cli,cly-cli,['Close Letters on QWERTY Keyboard'],NA
cpy-cli,cqy-cli,['Ascii Homoglpyh'],NA
cpy-cli,cpu-cli,"['Close Letters on QWERTY Keyboard', 'Swap Vowel']",NA
cra-template,cra-templates,['Suffix Added'],NA
cra-template,cfa-template,['Close Letters on QWERTY Keyboard'],NA
cra-template,cra-templete,"['Ascii Homoglpyh', 'Swap Vowel']",NA
cra-template,cra-tempalte,['Letters Swapped'],NA
cra-template,ctra-template,['Double hit character'],NA
cra-template-typescript,cra-template-ts,['String Substituted'],NA
craco,crco,['Character Removed'],NA
cramda,camda,['Character Removed'],NA
cramda,ramda,['Character Removed'],NA
crc,cfc,['Close Letters on QWERTY Keyboard'],NA
crc,cc,['Character Removed'],NA
crc,xrc,['Close Letters on QWERTY Keyboard'],NA
crc,crf,['Close Letters on QWERTY Keyboard'],NA
crc,ctc,['Close Letters on QWERTY Keyboard'],NA
crc,brc,['Bit Flips'],NA
crc,orc,['Ascii Homoglpyh'],NA
crc,crx,['Close Letters on QWERTY Keyboard'],NA
crc,crs,['Close Letters on QWERTY Keyboard'],NA
crc,crv,['Close Letters on QWERTY Keyboard'],NA
crc,src,['Close Letters on QWERTY Keyboard'],NA
crc,crd,['Close Letters on QWERTY Keyboard'],NA
crc,cec,['Close Letters on QWERTY Keyboard'],NA
crc,ccc,['Letter Duplicated and Replaced'],NA
crc,vrc,['Close Letters on QWERTY Keyboard'],NA
crc,frc,['Close Letters on QWERTY Keyboard'],NA
crc,ccr,['Letters Swapped'],NA
crc,cdc,['Close Letters on QWERTY Keyboard'],NA
crc,crsc,['Double hit character'],NA
crc,rc,['Character Removed'],NA
crc,lrc,['Bit Flips'],NA
crc,drc,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",NA
crc,cgc,['Close Letters on QWERTY Keyboard'],NA
crc-32,crc32,"['Character Removed', 'Separator Removed']",NA
create-error,create-error,['Letter Duplicated and Replaced'],NA
create-error-class,create-error-class,['Letter Duplicated and Replaced'],NA
create-jest-runner,create-jest-runner,['Letter Duplicated and Replaced'],NA
create-next-app,create-snext-app,['After Separator'],NA
create-next-app,create-nex-app,['Character Removed'],NA
create-react-app,create-react-apps,['Suffix Added'],NA
create-react-app,create-freact-app,"['After Separator', 'Double hit character']",NA
create-react-app,create-recat-app,['Letters Swapped'],NA
create-react-app,react-dapp,['After Separator'],NA
create-react-app,create-reeact-app,['Letter Duplicated'],NA
create-vite,create-fite,['Close Letters on QWERTY Keyboard'],NA
create-vite,create-dite,['Close Letters on QWERTY Keyboard'],NA
crelt,relt,['Character Removed'],NA
crequire,vrequire,['Close Letters on QWERTY Keyboard'],NA
crequire,require,['Character Removed'],NA
critters,critters,['Letter Duplicated and Replaced'],NA
critters-webpack-plugin,critters-webpack-plugin,['Letter Duplicated and Replaced'],NA
cron,ron,['Character Removed'],NA
cron,crn,['Character Removed'],NA
cron,con,['Character Removed'],NA
cron,scron,['Double hit character'],NA
cron,cro,['Character Removed'],NA
cropper,cropperjs,['Suffix Added'],NA
cropper,cropper,['Letter Duplicated and Replaced'],NA
cropperjs,cropperjs,['Letter Duplicated and Replaced'],NA
croppie,croppie,['Letter Duplicated and Replaced'],NA
cross-argv,cross-argv,['Letter Duplicated and Replaced'],NA
cross-blob,cross-blob,['Letter Duplicated and Replaced'],NA
cross-domain-safe-weakmap,cross-domain-safe-weakmap,['Letter Duplicated and Replaced'],NA
cross-domain-utils,cross-domain-utils,['Letter Duplicated and Replaced'],NA
cross-env,cross-env,['Letter Duplicated and Replaced'],NA
cross-fetch,cross-fetch,['Letter Duplicated and Replaced'],NA
cross-os,cross-os,['Letter Duplicated and Replaced'],NA
cross-port-killer,cross-port-killer,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
cross-spawn,cross-spawn,['Letter Duplicated and Replaced'],NA
cross-spawn-async,cross-spawn-async,['Letter Duplicated and Replaced'],NA
cross-spawn-promise,cross-spawn-promise,['Letter Duplicated and Replaced'],NA
cross-spawn-windows-exe,cross-spawn-windows-exe,['Letter Duplicated and Replaced'],NA
cross-storage,cross-storage,['Letter Duplicated and Replaced'],NA
cross-undici-fetch,cross-undici-fetch,['Letter Duplicated and Replaced'],NA
cross-unzip,cross-unzip,['Letter Duplicated and Replaced'],NA
cross-var,cross-var,['Letter Duplicated and Replaced'],NA
cross-zip,cross-zip,['Letter Duplicated and Replaced'],NA
crossfilter2,crossfilter2,['Letter Duplicated and Replaced'],NA
crosspath,crosspath,['Letter Duplicated and Replaced'],NA
crossvent,crossvent,['Letter Duplicated and Replaced'],NA
crx,crc,['Close Letters on QWERTY Keyboard'],NA
crx,cfx,['Close Letters on QWERTY Keyboard'],NA
crx,crdx,['Double hit character'],NA
crx,crs,['Close Letters on QWERTY Keyboard'],NA
crx,ctx,['Close Letters on QWERTY Keyboard'],NA
crx,ccx,['Letter Duplicated and Replaced'],NA
crx,crz,['Close Letters on QWERTY Keyboard'],NA
crx,frx,['Close Letters on QWERTY Keyboard'],NA
crx,rx,['Character Removed'],NA
crx,crd,['Close Letters on QWERTY Keyboard'],NA
crx,cx,['Character Removed'],NA
crx,cgx,['Close Letters on QWERTY Keyboard'],NA
crx,cex,['Close Letters on QWERTY Keyboard'],NA
crx,cxr,['Letters Swapped'],NA
crx,cdx,['Close Letters on QWERTY Keyboard'],NA
crx,vrx,['Close Letters on QWERTY Keyboard'],NA
crx,srx,['Close Letters on QWERTY Keyboard'],NA
crx,brx,['Bit Flips'],NA
crx,drx,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",NA
crx,cra,['Close Letters on QWERTY Keyboard'],NA
crx,crax,['Double hit character'],NA
crypt,crypt.js,['Suffix Added'],NA
crypt,crypg,['Close Letters on QWERTY Keyboard'],NA
crypto,crpyto,['Letters Swapped'],NA
crypto,crypt,['Character Removed'],NA
crypto,crypto.js,['Suffix Added'],NA
crypto,ccrypto,['Letter Duplicated'],NA
crypto,cryptoo,"['Letter Duplicated', 'Letter Duplicated and Replaced']",NA
crypto-addr-codec,crypto-addr-codec,['Letter Duplicated and Replaced'],NA
crypto-js,cyrpto-js,['Letters Swapped'],NA
crypto-js,crypto.js,['Separator Changed'],NA
crypto-randomuuid,crypto-randomuuid,['Letter Duplicated and Replaced'],NA
cryptr,crypt,['Character Removed'],NA
csjs,csj,['Character Removed'],NA
csjs,css,['Character Removed'],NA
csjs,cjs,['Character Removed'],NA
csjs,cssjs,['Letter Duplicated'],NA
csjs,dsjs,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",NA
csjs,sjs,['Character Removed'],NA
csjs,cdsjs,['Double hit character'],NA
csjs,csijs,['Double hit character'],NA
csjs,cdjs,['Close Letters on QWERTY Keyboard'],NA
cson,csn,['Character Removed'],NA
cson,son,['Character Removed'],NA
cson,bson,['Bit Flips'],NA
cson,cso,['Character Removed'],NA
cson,con,['Character Removed'],NA
csp-parse,css-parse,['Letter Duplicated and Replaced'],NA
cspell-glob,cspell-glob,['Letter Duplicated and Replaced'],NA
cspell-io,cspell-io,['Letter Duplicated and Replaced'],NA
cspell-lib,cspell-lib,['Letter Duplicated and Replaced'],NA
cspell-trie-lib,cspell-trie-lib,['Letter Duplicated and Replaced'],NA
cspell-util-bundle,cspell-util-bundle,['Letter Duplicated and Replaced'],NA
csrf,csf,['Character Removed'],NA
csrf,csr,['Character Removed'],NA
csrf,crf,['Character Removed'],NA
csrf,ssrf,['Close Letters on QWERTY Keyboard'],NA
css,vss,['Close Letters on QWERTY Keyboard'],NA
css,bss,['Bit Flips'],NA
css,cds,['Close Letters on QWERTY Keyboard'],NA
css,csd,['Close Letters on QWERTY Keyboard'],NA
css,css2,['Suffix Added'],NA
css,cxs,['Close Letters on QWERTY Keyboard'],NA
css,cws,['Close Letters on QWERTY Keyboard'],NA
css,csxs,['Double hit character'],NA
css,fss,['Close Letters on QWERTY Keyboard'],NA
css,cass,['Double hit character'],NA
css,csz,['Close Letters on QWERTY Keyboard'],NA
css,xss,['Close Letters on QWERTY Keyboard'],NA
css,csa,['Close Letters on QWERTY Keyboard'],NA
css,cqs,['Close Letters on QWERTY Keyboard'],NA
css,sss,['Close Letters on QWERTY Keyboard'],NA
css,csc,['Close Letters on QWERTY Keyboard'],NA
css,cse,['Close Letters on QWERTY Keyboard'],NA
css,cas,['Close Letters on QWERTY Keyboard'],NA
css,czss,['Double hit character'],NA
css,dss,"['Bit Flips', 'Close Letters on QWERTY Keyboard']",NA
css,lss,['Bit Flips'],NA
css,csds,['Double hit character'],NA
css,cess,['Double hit character'],NA
css,csq,['Close Letters on QWERTY Keyboard'],NA
css,csw,['Close Letters on QWERTY Keyboard'],NA
css,ccs,"['Close Letters on QWERTY Keyboard', 'Letter Duplicated and Replaced']",NA
css,czs,['Close Letters on QWERTY Keyboard'],NA
css,ces,['Close Letters on QWERTY Keyboard'],NA
css,cssjs,['Suffix Added'],NA
css,csx,['Close Letters on QWERTY Keyboard'],NA
css-animation,css-animation,['Letter Duplicated and Replaced'],NA
css-b64-images,css-b64-images,['Letter Duplicated and Replaced'],NA
css-blank-pseudo,css-blank-pseudo,['Letter Duplicated and Replaced'],NA
css-box-model,css-box-model,['Letter Duplicated and Replaced'],NA
css-color-converter,css-color-converter,['Letter Duplicated and Replaced'],NA
css-color-function,css-color-function,['Letter Duplicated and Replaced'],NA
css-color-keywords,css-color-keywords,['Letter Duplicated and Replaced'],NA
css-color-list,css-color-list,['Letter Duplicated and Replaced'],NA
css-color-names,css-color-name,['Character Removed'],NA
css-color-names,css-color-names,['Letter Duplicated and Replaced'],NA
css-declaration-sorter,css-declaration-sorter,['Letter Duplicated and Replaced'],NA
css-element-queries,css-element-queries,['Letter Duplicated and Replaced'],NA
css-font,css-font,['Letter Duplicated and Replaced'],NA
css-font-size-keywords,css-font-size-keywords,['Letter Duplicated and Replaced'],NA
css-font-stretch-keywords,css-font-stretch-keywords,['Letter Duplicated and Replaced'],NA
css-font-style-keywords,css-font-style-keywords,['Letter Duplicated and Replaced'],NA
css-font-weight-keywords,css-font-weight-keywords,['Letter Duplicated and Replaced'],NA
css-functions-list,css-functions-list,['Letter Duplicated and Replaced'],NA
css-global-keywords,css-global-keywords,['Letter Duplicated and Replaced'],NA
css-has-pseudo,css-has-pseudo,['Letter Duplicated and Replaced'],NA
css-hot-loader,css-hot-loader,['Letter Duplicated and Replaced'],NA
css-in-js-utils,js-nutils,['After Separator'],NA
css-in-js-utils,css-in-js-utils,['Letter Duplicated and Replaced'],NA
css-initials,css-initials,['Letter Duplicated and Replaced'],NA
css-jss,css-jss,['Letter Duplicated and Replaced'],NA
css-line-break,css-line-break,['Letter Duplicated and Replaced'],NA
css-list,cs-list,"['Character Removed', 'Character Removed']",NA
css-list,css-list,['Letter Duplicated and Replaced'],NA
css-list-helpers,css-list-helpers,['Letter Duplicated and Replaced'],NA
css-loader,ss-loader,['Character Removed'],NA
css-loader,css-loader,['Letter Duplicated and Replaced'],NA
css-loader,cs-loader,"['Character Removed', 'Character Removed']",NA
css-mediaquery,css-mediaquery,['Letter Duplicated and Replaced'],NA
css-minimizer-webpack-plugin,css-minimizer-webpack-plugin,['Letter Duplicated and Replaced'],NA
css-modules-loader-core,css-modules-loader-core,['Letter Duplicated and Replaced'],NA
css-modules-require-hook,css-modules-require-hook,"['Letter Duplicated and Replaced', 'Letter Duplicated and Replaced']",NA
css-modules-typescript-loader,css-modules-typescript-loader,['Letter Duplicated and Replaced'],NA
css-mqpacker,css-mqpacker,['Letter Duplicated and Replaced'],NA
css-node-extract,css-node-extract,['Letter Duplicated and Replaced'],NA
css-parse,css-parse,['Letter Duplicated and Replaced'],NA
css-parse,css-parse1,['Suffix Added'],NA
css-prefers-color-scheme,css-prefers-color-scheme,['Letter Duplicated and Replaced'],NA
css-property-sort-order-smacss,css-property-sort-order-smacss,['Letter Duplicated and Replaced'],NA
css-rule-stream,css-rule-stream,['Letter Duplicated and Replaced'],NA
